,Code
0,600382
1,601390
2,000980
3,601997
4,601699
5,600012
6,601398
7,000825
8,000732
9,600016
10,600926
11,600019
12,600665
13,601009
14,000926
15,600569
16,601166
17,601588
18,601669
19,600051
20,002133
21,000040
22,000778
23,000039
24,600282
25,600000
26,600188
27,601838
28,601077
29,601288
30,600743
31,600269
32,601818
33,601328
34,600657
35,002092
36,600919
37,600376
38,600308
39,600859
40,600153
41,601577
42,000898
43,600015
44,601169
45,601998
46,601939
47,601186
48,000402
49,600823
50,600348
51,600623
52,603323
53,600231
54,601229
55,600123
56,601005
57,601000
58,600997
59,601800
60,600716
61,600782
62,603518
63,600740
64,000069
65,600808
66,600694
67,000900
68,600638
69,300089
70,601988
71,600350
72,600708
73,002619
74,601101
75,000620
76,002936
77,601828
78,000415
79,600971
80,000683
81,000959
82,000791
83,600067
84,000709
