code,name,pb,esp,timeToMarket
000001,平安银行,0.9,1.54,19910403
000002,万 科Ａ,1.78,1.63,19910129
000004,国农科技,29.18,-0.12,19910114
000005,世纪星源,2.0,0.042,19901210
000006,深振业Ａ,0.97,0.335,19920427
000007,全新好,15.45,-0.027000000000000003,19920413
000008,神州高铁,1.29,0.053,19920507
000009,中国宝安,2.97,0.078,19910625
000010,*ST美丽,6.3,0.053,19951027
000011,深物业A,1.46,0.17300000000000001,19920330
000012,南 玻Ａ,1.52,0.175,19920228
000014,沙河股份,1.85,-0.055999999999999994,19920602
000016,深康佳Ａ,2.89,0.187,19920327
000017,深中华A,148.57,0.0,19920331
000019,深粮控股,1.56,0.28600000000000003,19921012
000020,深华发Ａ,7.94,0.012,19920428
000021,深科技,4.14,0.185,19940202
000023,深天地Ａ,3.92,0.391,19930429
000025,特 力Ａ,6.88,0.149,19930621
000026,飞亚达,1.44,0.40299999999999997,19930603
000027,深圳能源,0.88,0.43200000000000005,19930903
000028,国药一致,1.35,2.247,19930809
000029,深深房Ａ,3.03,0.546,19930915
000030,富奥股份,1.59,0.341,19930929
000031,大悦城,1.21,0.62,19931008
000032,深桑达Ａ,4.5,0.212,19931028
000034,神州数码,4.96,0.78,19940509
000035,中国天楹,1.19,0.17,19940408
000036,华联控股,1.08,0.41,19940617
000037,深南电A,3.57,0.013999999999999999,19940701
000038,深大通,1.53,0.003,19940808
000039,中集集团,0.79,0.14,19940408
000040,东旭蓝天,0.36,0.05,19940808
000042,中洲控股,0.81,1.393,19940921
000045,深纺织Ａ,1.42,0.039,19940815
000046,泛海控股,0.92,0.48,19940912
000048,康达尔,6.37,0.745,19941101
000049,德赛电池,3.69,1.65,19950320
000050,深天马Ａ,1.08,0.505,19950315
000055,方大集团,0.89,0.139,19960415
000056,皇庭国际,0.73,0.11,19960708
000058,深 赛 格,3.98,0.08900000000000001,19961226
000059,华锦股份,0.66,0.5770000000000001,19970130
000060,中金岭南,1.17,0.239,19970123
000061,农 产 品,1.97,0.09699999999999999,19970110
000062,深圳华强,2.5,0.467,19970130
000063,中兴通讯,5.95,0.98,19971118
000065,北方国际,1.21,0.644,19980605
000066,中国长城,6.05,0.06,19970626
000068,华控赛格,7.08,-0.071,19970611
000069,华侨城Ａ,0.78,0.731,19970910
000070,特发信息,3.14,0.12,20000511
